title,price,rating,reviews,availability
"Red Lemon Unisex-adult Bange Series Rhombus Shell Design Waterproof Sling Bag with USB Charging (Black), Black",,4.4 out of 5 stars,67 ratings,Currently unavailable.
MOKOBARA Unisex-Adult Backpack Pink Vegan Leather Water Resistant 15Laptop Bag School College And Work Backpack For Women And Kids 16L 2022 - Model Medium Modern Love,,4.3 out of 5 stars,80 ratings,Currently unavailable.
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),,4.3 out of 5 stars,"6,283 ratings",
"Skybags Brat Black 46 Cms Casual Backpack, Black",,4.1 out of 5 stars,"4,508 ratings",Currently unavailable.
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",,3.8 out of 5 stars,"2,018 ratings",Currently unavailable.
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag (Navy blue),,4.1 out of 5 stars,"1,271 ratings",Currently unavailable.
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),,3.9 out of 5 stars,790 ratings,Currently unavailable.
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls, Grey, L, Anti Theft Backpack with Number Lock",,3.9 out of 5 stars,"1,822 ratings",Currently unavailable.
SAFARI 15 Ltrs Sea Blue Casual Backpack (DAYPACKNEO15CBSEB),,4.0 out of 5 stars,"18,660 ratings",Currently unavailable.
"Fur Jaden Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls, Grey, L, Anti Theft Backpack with Number Lock",,3.9 out of 5 stars,"1,822 ratings",Currently unavailable.
"Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover, Black & Orange, L, Casual",,3.9 out of 5 stars,"2,526 ratings",Currently unavailable.
"Wesley Milestone 15.6 inch Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (30 litres, 2 Main & 1 Small Compartment, Grey and Black)",,4.3 out of 5 stars,"4,518 ratings",
"Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover, Black & Orange, L, Casual",,3.9 out of 5 stars,"2,526 ratings",Currently unavailable.
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Grey),,3.9 out of 5 stars,723 ratings,Currently unavailable.
